W0713 10:21:00.408512 3684238 torch/distributed/run.py:766] 
W0713 10:21:00.408512 3684238 torch/distributed/run.py:766] *****************************************
W0713 10:21:00.408512 3684238 torch/distributed/run.py:766] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0713 10:21:00.408512 3684238 torch/distributed/run.py:766] *****************************************
torch cuda available: True
/home/ubuntu/MyFiles/d2l/.venv/lib/python3.9/site-packages/torch/distributed/distributed_c10d.py:4631: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
torch cuda available: True
torch cuda available: True
torch cuda available: True
[rank0]:[W713 10:21:03.820201724 ProcessGroupNCCL.cpp:4718] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 as device used by this process is currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. You can pecify device_id in init_process_group() to force use of a particular device.
/home/ubuntu/MyFiles/d2l/.venv/lib/python3.9/site-packages/torch/distributed/distributed_c10d.py:4631: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
[rank1]:[W713 10:21:04.863741775 ProcessGroupNCCL.cpp:4718] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 as device used by this process is currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. You can pecify device_id in init_process_group() to force use of a particular device.
/home/ubuntu/MyFiles/d2l/.venv/lib/python3.9/site-packages/torch/distributed/distributed_c10d.py:4631: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
[rank2]:[W713 10:21:04.870553177 ProcessGroupNCCL.cpp:4718] [PG ID 0 PG GUID 0 Rank 2]  using GPU 2 as device used by this process is currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. You can pecify device_id in init_process_group() to force use of a particular device.
/home/ubuntu/MyFiles/d2l/.venv/lib/python3.9/site-packages/torch/distributed/distributed_c10d.py:4631: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
[rank3]:[W713 10:21:04.891374885 ProcessGroupNCCL.cpp:4718] [PG ID 0 PG GUID 0 Rank 3]  using GPU 3 as device used by this process is currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. You can pecify device_id in init_process_group() to force use of a particular device.
Rank 2 loaded data with 60000 training samples and 10000 test samples.
Rank 1 loaded data with 60000 training samples and 10000 test samples.
Rank 3 loaded data with 60000 training samples and 10000 test samples.
Rank 0 loaded data with 60000 training samples and 10000 test samples.
Epoch 001/100, Train Loss: 2.2998, Train Accuracy: 0.1540, Test Accuracy: 0.2340
Epoch 002/100, Train Loss: 2.2869, Train Accuracy: 0.2442, Test Accuracy: 0.2873
Epoch 003/100, Train Loss: 2.1999, Train Accuracy: 0.2619, Test Accuracy: 0.1000
Epoch 004/100, Train Loss: 2.3137, Train Accuracy: 0.1032, Test Accuracy: 0.1335
Epoch 005/100, Train Loss: 2.2947, Train Accuracy: 0.1424, Test Accuracy: 0.1841
Epoch 006/100, Train Loss: 2.0726, Train Accuracy: 0.2142, Test Accuracy: 0.3028
Epoch 007/100, Train Loss: 2.1604, Train Accuracy: 0.2145, Test Accuracy: 0.2120
Epoch 008/100, Train Loss: 1.9910, Train Accuracy: 0.2897, Test Accuracy: 0.4725
Epoch 009/100, Train Loss: 1.1691, Train Accuracy: 0.5326, Test Accuracy: 0.5412
Epoch 010/100, Train Loss: 0.9490, Train Accuracy: 0.6224, Test Accuracy: 0.7037
Epoch 011/100, Train Loss: 0.8423, Train Accuracy: 0.6658, Test Accuracy: 0.7025
Epoch 012/100, Train Loss: 0.7334, Train Accuracy: 0.7198, Test Accuracy: 0.6905
Epoch 013/100, Train Loss: 0.6474, Train Accuracy: 0.7561, Test Accuracy: 0.7774
Epoch 014/100, Train Loss: 0.5781, Train Accuracy: 0.7838, Test Accuracy: 0.7780
Epoch 015/100, Train Loss: 0.5113, Train Accuracy: 0.8081, Test Accuracy: 0.8106
Epoch 016/100, Train Loss: 0.4806, Train Accuracy: 0.8193, Test Accuracy: 0.7949
Epoch 017/100, Train Loss: 0.9872, Train Accuracy: 0.6541, Test Accuracy: 0.8081
Epoch 018/100, Train Loss: 0.4918, Train Accuracy: 0.8167, Test Accuracy: 0.8148
Epoch 019/100, Train Loss: 0.4403, Train Accuracy: 0.8358, Test Accuracy: 0.7404
Epoch 020/100, Train Loss: 0.4173, Train Accuracy: 0.8433, Test Accuracy: 0.8225
Epoch 021/100, Train Loss: 0.3978, Train Accuracy: 0.8498, Test Accuracy: 0.8393
Epoch 022/100, Train Loss: 0.3816, Train Accuracy: 0.8564, Test Accuracy: 0.8245
Epoch 023/100, Train Loss: 2.2854, Train Accuracy: 0.1964, Test Accuracy: 0.2549
Epoch 024/100, Train Loss: 1.7214, Train Accuracy: 0.3824, Test Accuracy: 0.5094
Epoch 025/100, Train Loss: 1.0154, Train Accuracy: 0.5889, Test Accuracy: 0.4580
Epoch 026/100, Train Loss: 0.8711, Train Accuracy: 0.6718, Test Accuracy: 0.6550
Epoch 027/100, Train Loss: 0.5907, Train Accuracy: 0.7782, Test Accuracy: 0.7654
Epoch 028/100, Train Loss: 0.4840, Train Accuracy: 0.8213, Test Accuracy: 0.8205
