W0712 07:14:19.311866 3433070 torch/distributed/run.py:766] 
W0712 07:14:19.311866 3433070 torch/distributed/run.py:766] *****************************************
W0712 07:14:19.311866 3433070 torch/distributed/run.py:766] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0712 07:14:19.311866 3433070 torch/distributed/run.py:766] *****************************************
torch cuda available: True
/home/ubuntu/MyFiles/d2l/.venv/lib/python3.9/site-packages/torch/distributed/distributed_c10d.py:4631: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
[rank2]:[W712 07:14:22.485966225 ProcessGroupNCCL.cpp:4718] [PG ID 0 PG GUID 0 Rank 2]  using GPU 2 as device used by this process is currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. You can pecify device_id in init_process_group() to force use of a particular device.
torch cuda available: True
torch cuda available: True
/home/ubuntu/MyFiles/d2l/.venv/lib/python3.9/site-packages/torch/distributed/distributed_c10d.py:4631: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
torch cuda available: True
/home/ubuntu/MyFiles/d2l/.venv/lib/python3.9/site-packages/torch/distributed/distributed_c10d.py:4631: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
[rank1]:[W712 07:14:22.685233000 ProcessGroupNCCL.cpp:4718] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 as device used by this process is currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. You can pecify device_id in init_process_group() to force use of a particular device.
[rank0]:[W712 07:14:22.685266199 ProcessGroupNCCL.cpp:4718] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 as device used by this process is currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. You can pecify device_id in init_process_group() to force use of a particular device.
/home/ubuntu/MyFiles/d2l/.venv/lib/python3.9/site-packages/torch/distributed/distributed_c10d.py:4631: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
[rank3]:[W712 07:14:22.762678520 ProcessGroupNCCL.cpp:4718] [PG ID 0 PG GUID 0 Rank 3]  using GPU 3 as device used by this process is currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. You can pecify device_id in init_process_group() to force use of a particular device.
Rank 2 loaded data with 60000 training samples and 10000 test samples.
Rank 1 loaded data with 60000 training samples and 10000 test samples.
Rank 0 loaded data with 60000 training samples and 10000 test samples.
Rank 3 loaded data with 60000 training samples and 10000 test samples.
Epoch 001/100, Train Loss: 2.3077, Train Accuracy: 0.1000, Test Accuracy: 0.1000
Epoch 002/100, Train Loss: 2.3044, Train Accuracy: 0.1051, Test Accuracy: 0.0911
Epoch 003/100, Train Loss: 2.3018, Train Accuracy: 0.1340, Test Accuracy: 0.1131
Epoch 004/100, Train Loss: 2.2963, Train Accuracy: 0.1310, Test Accuracy: 0.1050
Epoch 005/100, Train Loss: 2.2800, Train Accuracy: 0.1866, Test Accuracy: 0.2185
Epoch 006/100, Train Loss: 2.2119, Train Accuracy: 0.1866, Test Accuracy: 0.1970
Epoch 007/100, Train Loss: 1.9794, Train Accuracy: 0.2116, Test Accuracy: 0.2835
Epoch 008/100, Train Loss: 1.8067, Train Accuracy: 0.2833, Test Accuracy: 0.2747
Epoch 009/100, Train Loss: 1.7672, Train Accuracy: 0.3510, Test Accuracy: 0.1939
Epoch 010/100, Train Loss: 1.7136, Train Accuracy: 0.3603, Test Accuracy: 0.4249
Epoch 011/100, Train Loss: 1.4508, Train Accuracy: 0.4463, Test Accuracy: 0.5043
Epoch 012/100, Train Loss: 1.2566, Train Accuracy: 0.5191, Test Accuracy: 0.5042
Epoch 013/100, Train Loss: 1.0246, Train Accuracy: 0.6171, Test Accuracy: 0.6745
Epoch 014/100, Train Loss: 0.9178, Train Accuracy: 0.6508, Test Accuracy: 0.6535
Epoch 015/100, Train Loss: 0.8447, Train Accuracy: 0.6754, Test Accuracy: 0.7132
Epoch 016/100, Train Loss: 0.7853, Train Accuracy: 0.7026, Test Accuracy: 0.5771
Epoch 017/100, Train Loss: 1.2016, Train Accuracy: 0.5770, Test Accuracy: 0.4311
Epoch 018/100, Train Loss: 0.8575, Train Accuracy: 0.6713, Test Accuracy: 0.7288
Epoch 019/100, Train Loss: 0.7098, Train Accuracy: 0.7321, Test Accuracy: 0.7481
Epoch 020/100, Train Loss: 0.6713, Train Accuracy: 0.7454, Test Accuracy: 0.7641
Epoch 021/100, Train Loss: 0.6370, Train Accuracy: 0.7569, Test Accuracy: 0.7700
Epoch 022/100, Train Loss: 0.6276, Train Accuracy: 0.7636, Test Accuracy: 0.7848
Epoch 023/100, Train Loss: 0.5937, Train Accuracy: 0.7771, Test Accuracy: 0.7784
Epoch 024/100, Train Loss: 0.5890, Train Accuracy: 0.7789, Test Accuracy: 0.7994
Epoch 025/100, Train Loss: 0.5677, Train Accuracy: 0.7841, Test Accuracy: 0.7956
Epoch 026/100, Train Loss: 0.5524, Train Accuracy: 0.7943, Test Accuracy: 0.7989
Epoch 027/100, Train Loss: 0.5332, Train Accuracy: 0.7999, Test Accuracy: 0.7966
Epoch 028/100, Train Loss: 0.5214, Train Accuracy: 0.8058, Test Accuracy: 0.7874
Epoch 029/100, Train Loss: 0.5188, Train Accuracy: 0.8055, Test Accuracy: 0.7669
Epoch 030/100, Train Loss: 0.5019, Train Accuracy: 0.8126, Test Accuracy: 0.8133
Epoch 031/100, Train Loss: 0.4934, Train Accuracy: 0.8161, Test Accuracy: 0.8310
Epoch 032/100, Train Loss: 0.4767, Train Accuracy: 0.8223, Test Accuracy: 0.8181
Epoch 033/100, Train Loss: 0.4722, Train Accuracy: 0.8236, Test Accuracy: 0.8067
Epoch 034/100, Train Loss: 0.4557, Train Accuracy: 0.8310, Test Accuracy: 0.8323
