W0711 06:50:50.637726 3311446 torch/distributed/run.py:766] 
W0711 06:50:50.637726 3311446 torch/distributed/run.py:766] *****************************************
W0711 06:50:50.637726 3311446 torch/distributed/run.py:766] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0711 06:50:50.637726 3311446 torch/distributed/run.py:766] *****************************************
torch cuda available: True
torch cuda available: True
torch cuda available: True
torch cuda available: True
/home/ubuntu/MyFiles/d2l/.venv/lib/python3.9/site-packages/torch/distributed/distributed_c10d.py:4631: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
/home/ubuntu/MyFiles/d2l/.venv/lib/python3.9/site-packages/torch/distributed/distributed_c10d.py:4631: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
[rank1]:[W711 06:50:54.033130514 ProcessGroupNCCL.cpp:4718] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 as device used by this process is currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. You can pecify device_id in init_process_group() to force use of a particular device.
/home/ubuntu/MyFiles/d2l/.venv/lib/python3.9/site-packages/torch/distributed/distributed_c10d.py:4631: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
[rank3]:[W711 06:50:54.065489989 ProcessGroupNCCL.cpp:4718] [PG ID 0 PG GUID 0 Rank 3]  using GPU 3 as device used by this process is currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. You can pecify device_id in init_process_group() to force use of a particular device.
/home/ubuntu/MyFiles/d2l/.venv/lib/python3.9/site-packages/torch/distributed/distributed_c10d.py:4631: UserWarning: No device id is provided via `init_process_group` or `barrier `. Using the current device set by the user. 
  warnings.warn(  # warn only once
[rank2]:[W711 06:50:54.075090869 ProcessGroupNCCL.cpp:4718] [PG ID 0 PG GUID 0 Rank 2]  using GPU 2 as device used by this process is currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. You can pecify device_id in init_process_group() to force use of a particular device.
[rank0]:[W711 06:50:54.103862198 ProcessGroupNCCL.cpp:4718] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 as device used by this process is currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect. You can pecify device_id in init_process_group() to force use of a particular device.
Rank 1 loaded data with 60000 training samples and 10000 test samples.
Rank 3 loaded data with 60000 training samples and 10000 test samples.
Rank 0 loaded data with 60000 training samples and 10000 test samples.
Rank 2 loaded data with 60000 training samples and 10000 test samples.
Epoch 001/100, Train Loss: 2.2982, Train Accuracy: 0.2860, Test Accuracy: 0.5141
Epoch 002/100, Train Loss: 2.2704, Train Accuracy: 0.4425, Test Accuracy: 0.5029
Epoch 003/100, Train Loss: 1.2031, Train Accuracy: 0.5898, Test Accuracy: 0.6966
Epoch 004/100, Train Loss: 0.6943, Train Accuracy: 0.7405, Test Accuracy: 0.7866
Epoch 005/100, Train Loss: 0.5547, Train Accuracy: 0.7953, Test Accuracy: 0.7662
Epoch 006/100, Train Loss: 0.4796, Train Accuracy: 0.8253, Test Accuracy: 0.8190
Epoch 007/100, Train Loss: 0.4374, Train Accuracy: 0.8399, Test Accuracy: 0.8413
Epoch 008/100, Train Loss: 0.4047, Train Accuracy: 0.8527, Test Accuracy: 0.8509
Epoch 009/100, Train Loss: 0.3828, Train Accuracy: 0.8586, Test Accuracy: 0.8591
Epoch 010/100, Train Loss: 0.3617, Train Accuracy: 0.8666, Test Accuracy: 0.8646
Epoch 011/100, Train Loss: 0.3476, Train Accuracy: 0.8719, Test Accuracy: 0.8761
Epoch 012/100, Train Loss: 0.3307, Train Accuracy: 0.8783, Test Accuracy: 0.8773
Epoch 013/100, Train Loss: 0.3213, Train Accuracy: 0.8820, Test Accuracy: 0.8742
Epoch 014/100, Train Loss: 0.3118, Train Accuracy: 0.8849, Test Accuracy: 0.8845
Epoch 015/100, Train Loss: 0.2991, Train Accuracy: 0.8899, Test Accuracy: 0.8715
Epoch 016/100, Train Loss: 0.2917, Train Accuracy: 0.8924, Test Accuracy: 0.8842
Epoch 017/100, Train Loss: 0.2813, Train Accuracy: 0.8956, Test Accuracy: 0.8958
Epoch 018/100, Train Loss: 0.2735, Train Accuracy: 0.8999, Test Accuracy: 0.8925
Epoch 019/100, Train Loss: 0.2664, Train Accuracy: 0.9019, Test Accuracy: 0.8994
Epoch 020/100, Train Loss: 0.2584, Train Accuracy: 0.9060, Test Accuracy: 0.8998
Epoch 021/100, Train Loss: 0.2518, Train Accuracy: 0.9075, Test Accuracy: 0.8995
Epoch 022/100, Train Loss: 0.2474, Train Accuracy: 0.9075, Test Accuracy: 0.8998
Epoch 023/100, Train Loss: 0.2413, Train Accuracy: 0.9107, Test Accuracy: 0.8952
Epoch 024/100, Train Loss: 0.2346, Train Accuracy: 0.9127, Test Accuracy: 0.9049
Epoch 025/100, Train Loss: 0.2250, Train Accuracy: 0.9158, Test Accuracy: 0.8933
Epoch 026/100, Train Loss: 0.2215, Train Accuracy: 0.9183, Test Accuracy: 0.9105
Epoch 027/100, Train Loss: 0.2171, Train Accuracy: 0.9201, Test Accuracy: 0.9123
Epoch 028/100, Train Loss: 0.2111, Train Accuracy: 0.9218, Test Accuracy: 0.9119
Epoch 029/100, Train Loss: 0.2062, Train Accuracy: 0.9230, Test Accuracy: 0.9053
Epoch 030/100, Train Loss: 0.1994, Train Accuracy: 0.9248, Test Accuracy: 0.9104
Epoch 031/100, Train Loss: 0.1950, Train Accuracy: 0.9277, Test Accuracy: 0.9015
Epoch 032/100, Train Loss: 0.1885, Train Accuracy: 0.9298, Test Accuracy: 0.9123
Epoch 033/100, Train Loss: 0.1817, Train Accuracy: 0.9323, Test Accuracy: 0.8984
Epoch 034/100, Train Loss: 0.1772, Train Accuracy: 0.9337, Test Accuracy: 0.9151
Epoch 035/100, Train Loss: 0.1726, Train Accuracy: 0.9354, Test Accuracy: 0.9176
Epoch 036/100, Train Loss: 0.1662, Train Accuracy: 0.9372, Test Accuracy: 0.9193
Epoch 037/100, Train Loss: 0.1617, Train Accuracy: 0.9397, Test Accuracy: 0.9099
Epoch 038/100, Train Loss: 0.1578, Train Accuracy: 0.9402, Test Accuracy: 0.9177
Epoch 039/100, Train Loss: 0.1511, Train Accuracy: 0.9431, Test Accuracy: 0.9204
Epoch 040/100, Train Loss: 0.1454, Train Accuracy: 0.9462, Test Accuracy: 0.9194
Epoch 041/100, Train Loss: 0.1426, Train Accuracy: 0.9453, Test Accuracy: 0.9146
